GRUPO|COORDS|TEXTO|GRUPO_TEXTO|ANIO|CLASE|CLASE_ID|LATITUDE|LONGITUDE
Accu - Auc|7.916696, -76.167776|<p>Los hermanos Carlos y Vicente Castaño formaron en 1994 las Autodefensas Campesinas de Córdoba y Urabá, Accu, reuniendo el remanente de los Perseguidos por Pablo Escobar, ‘Pepes’, y los diferentes grupos de paramilitares que habían delinquido de forma independiente desde los años 80 en la Costa Caribe.</p><p>El mismo año fue asesinado Fidel, el hermano mayor de los Castaño, que desde la década de los ochenta había usado un nombre similar para denominar a los grupos de paramilitares que lideró. En sus inicios, los ‘paras’ de las Accu se ubicaron en el Urabá antioqueño, donde en 1994 cometieron cuatro masacres contra la población civil en Necoclí, Urrao y San Pedro de Urabá.</p>|Autodefensas Campesinas de Córdoba y Urabá|1994|a|A|7.916696|-76.167776
Accu - Auc|7.871036, -76.629543|<p>Los hermanos Carlos y Vicente Castaño formaron en 1994 las Autodefensas Campesinas de Córdoba y Urabá, Accu, reuniendo el remanente de los Perseguidos por Pablo Escobar, ‘Pepes’, y los diferentes grupos de paramilitares que habían delinquido de forma independiente desde los años 80 en la Costa Caribe.</p> <p> El mismo año fue asesinado Fidel, el hermano mayor de los Castaño, que desde la década de los ochenta había usado un nombre similar para denominar a los grupos de paramilitares que lideró. En sus inicios, los ‘paras’ de las Accu se ubicaron en el Urabá antioqueño, donde en 1994 cometieron cuatro masacres contra la población civil en Necoclí, Urrao y San Pedro de Urabá.</p>|Autodefensas Campesinas de Córdoba y Urabá|1994|a|A|7.871036|-76.629543
Accu - Auc|9.502425, -75.168170|<p>Los hermanos Carlos y Vicente Castaño formaron en 1994 las Autodefensas Campesinas de Córdoba y Urabá, Accu, reuniendo el remanente de los Perseguidos por Pablo Escobar, ‘Pepes’, y los diferentes grupos de paramilitares que habían delinquido de forma independiente desde los años 80 en la Costa Caribe.</p> <p>El mismo año fue asesinado Fidel, el hermano mayor de los Castaño, que desde la década de los ochenta había usado un nombre similar para denominar a los grupos de paramilitares que lideró. En sus inicios, los ‘paras’ de las Accu se ubicaron en el Urabá antioqueño, donde en 1994 cometieron cuatro masacres contra la población civil en Necoclí, Urrao y San Pedro de Urabá.</p>|Autodefensas Campesinas de Córdoba y Urabá|1994|a|A|9.502425|-75.16817
Accu - Auc|8.100212, -76.713958|<p>El Bloque Bananero se creó en 1995 con 20 hombres del grupo conocido como ‘Los Escorpiones’, bajo el mando de José Hebert Veloza alias ‘HH’, y 40 más del grupo que lideraba el empresario Raúl Emilio Hasbún, alias ‘Pedro Bonito’.El bloque fue financiado en gran parte por empresas bananeras que pagaban por protección contra los diferentes grupos guerrilleros que delinquieron en el Urabá antioqueño desde la década de 1970. </p> <p>El transporte de banano fue utilizado por el grupo paramilitar como fachada para traficar drogas y armas. En 1995, los ‘paras’ del Bloque Bananero perpetraron masacres en los municipios de Chigorodó y Turbo, Antioquia, dejando a 25 personas muertas entre campesinos, líderes sindicalistas y militantes de la Unión Patriótica.</p>|Bloque Bananero|1995|a|A|8.100212|-76.713958
Accu - Auc|9.502425, -75.168170|"<p>En 1997, las Accu fueron la base para las Autodefensas Unidas de Colombia, Auc, y desde ese año aglomeraron a la mayoría de grupos paramilitares del país y los hermanos Castaño los organizaron en bloques, de forma que pudieran ganarle más terreno a las guerrillas en el negocio del narcotráfico. Esta unificación de grupos ‘paras’ significó el terror para la población civil en todo el territorio nacional pues las Auc se expandieron sin control y perpetraron cientos de masacres y desplazaron a pueblos completos.</p><p> Así, los paramilitares de las Accu continuaron en las zonas en las que estaban desde años antes y en esa transición hacia las Auc, cometieron nueve matanzas en Antioquia (El Aro en el municipio de Ituango; Dabeiba, Vegachí, Donmatías, Peque, dos en San Pedro de los Milagros y dos en Santo Domingo); y una en Fundación, Magdalena. Los paramilitares de los hermanos castaño también fueron los principales perpetradores de la masacre de Mapiripán, Meta, donde junto con otras e…"|Autodefensas Campesinas de Córdoba y Urabá|1997|a|A|9.502425|-75.16817
Accu - Auc|7.916696, -76.167776|"<p>En 1997, las Accu fueron la base para las Autodefensas Unidas de Colombia, Auc, y desde ese año aglomeraron a la mayoría de grupos paramilitares del país y los hermanos Castaño los organizaron en bloques, de forma que pudieran ganarle más terreno a las guerrillas en el negocio del narcotráfico. Esta unificación de grupos ‘paras’ significó el terror para la población civil en todo el territorio nacional pues las Auc se expandieron sin control y perpetraron cientos de masacres y desplazaron a pueblos completos.</p><p> Así, los paramilitares de las Accu continuaron en las zonas en las que estaban desde años antes y en esa transición hacia las Auc, cometieron nueve matanzas en Antioquia (El Aro en el municipio de Ituango; Dabeiba, Vegachí, Donmatías, Peque, dos en San Pedro de los Milagros y dos en Santo Domingo); y una en Fundación, Magdalena. Los paramilitares de los hermanos castaño también fueron los principales perpetradores de la masacre de Mapiripán, Meta, donde junto con otras e…"|Autodefensas Campesinas de Córdoba y Urabá|1997|a|A|7.916696|-76.167776
Accu - Auc|7.871036, -76.629543|"<p>En 1997, las Accu fueron la base para las Autodefensas Unidas de Colombia, Auc, y desde ese año aglomeraron a la mayoría de grupos paramilitares del país y los hermanos Castaño los organizaron en bloques, de forma que pudieran ganarle más terreno a las guerrillas en el negocio del narcotráfico. Esta unificación de grupos ‘paras’ significó el terror para la población civil en todo el territorio nacional pues las Auc se expandieron sin control y perpetraron cientos de masacres y desplazaron a pueblos completos.</p> <p>Así, los paramilitares de las Accu continuaron en las zonas en las que estaban desde años antes y en esa transición hacia las Auc, cometieron nueve matanzas en Antioquia (El Aro en el municipio de Ituango; Dabeiba, Vegachí, Donmatías, Peque, dos en San Pedro de los Milagros y dos en Santo Domingo); y una en Fundación, Magdalena. Los paramilitares de los hermanos castaño también fueron los principales perpetradores de la masacre de Mapiripán, Meta, donde junto con otras e…"|Autodefensas Campesinas de Córdoba y Urabá|1997|a|A|7.871036|-76.629543
Accu - Auc|7.242397, -76.433807|"<p>En 1997, el jefe paramilitar Élmer Cárdenas fue asesinado y el bloque tomó su nombre y pasó a hacer parte de las Autodefensas Unidas de Colombia, Auc. Los ‘paras’ continuaron delinquiendo bajo el mando de Freddy Rendón Herrera, alias ‘El Alemán’, y perpetraron masacres en algunos municipios de la región del Urabá como Riosucio, en Chocó; y Apartadó y Murindó, en Antioquia.</p> <p> Además, en noviembre de ese año, 30 paramilitares del Bloque Élmer Cárdenas fueron hasta el corregimiento de La Horqueta, en el municipio de Tocaima, Cundinamarca, y asesinaron a 15 campesinos por órdenes de los hermanos Castaño. Sin embargo, los ‘paras’ abandonaron la región apenas cometieron la matanza y no permanecieron en la zona como en otras ocasiones.</p>"|Bloque Élmer Cárdenas|1997|a|A|7.242397|-76.433807
Accu - Auc|8.113807, -76.731811|<p>Para 1999, el Bloque Bananero bajo el mando de Hebert Veloza García, alias ‘HH’, continuó delinquiendo en el Urabá, una región selvática estratégica para el tráfico de drogas y de armas ubicada en toda la esquina noroccidental de Colombia. En el Urabá viven cerca de medio millón de personas asentadas en 18 municipios de Antioquia, Chocó y Córdoba. En 1999, como parte de la expansión de las Auc, los hermanos Carlos y Vicente Castaño enviaron ‘paras’ desde allí a regiones como el Catatumbo y el Valle del Cauca para crear nuevos bloques paramilitares.</p> <p> A comienzos de año, el 8 de enero, el Bloque Bananero asesinó a 12 personas en dos masacres en Chigorodó y Apartadó municipios del Eje Bananero en el Urabá antioqueño, como parte de una retaliación de Carlos Castaño por un ataque que lanzaron las Farc a su campamento principal, en el Nudo del Paramillo. El 14 de junio también perpetraron una masacre, esta vez en Saiza, un caserío del municipio de Tierralta, Córdoba. Los ‘paras’ q…|Bloque Bananero|1999|a|A|8.113807|-76.731811
Accu - Auc|7.878602, -76.626650|<p>Para 1999, el Bloque Bananero bajo el mando de Hebert Veloza García, alias ‘HH’, continuó delinquiendo en el Urabá, una región selvática estratégica para el tráfico de drogas y de armas ubicada en toda la esquina noroccidental de Colombia. En el Urabá viven cerca de medio millón de personas asentadas en 18 municipios de Antioquia, Chocó y Córdoba. En 1999, como parte de la expansión de las Auc, los hermanos Carlos y Vicente Castaño enviaron ‘paras’ desde allí a regiones como el Catatumbo y el Valle del Cauca para crear nuevos bloques paramilitares.</p> <p> A comienzos de año, el 8 de enero, el Bloque Bananero asesinó a 12 personas en dos masacres en Chigorodó y Apartadó municipios del Eje Bananero en el Urabá antioqueño, como parte de una retaliación de Carlos Castaño por un ataque que lanzaron las Farc a su campamento principal, en el Nudo del Paramillo. El 14 de junio también perpetraron una masacre, esta vez en Saiza, un caserío del municipio de Tierralta, Córdoba. Los ‘paras’ q…|Bloque Bananero|1999|a|A|7.878602|-76.62665
